sAMAccountName,password,ou,Department,UserPrincipalName,GivenName,initials,Surname,sn,Displayname,Office,OfficePhone,Email,StreetAddress,City,State,PostalCode,Country,Title,Company
Christopher.Sisco,socimp123!,"OU=HR,OU=SOCIMP Users,DC=socimp,DC=local",HR,Christopher.Sisco@socimp.com,Christopher,D,Sisco,Christopher Sisco,Christopher Sisco,HR Office,574-248-2831,Christopher.Sisco@socimp.com,618 Sharon Lane,Plymouth,HN,10000,VN,HR Staff,SOC in my Pocket
Samuel.Thomas,socimp123!,"OU=HR,OU=SOCIMP Users,DC=socimp,DC=local",HR,Samuel.Thomas@socimp.com,Samuel,M,Thomas,Samuel Thomas,Samuel Thomas,HR Office,770-578-7561,Samuel.Thomas@socimp.com,4128 Lakeland Park Drive,Marietta,HN,10000,VN,HR Staff,SOC in my Pocket
Nigel.Caldwell,socimp123!,"OU=HR,OU=SOCIMP Users,DC=socimp,DC=local",HR,Nigel.Caldwell@socimp.com,Nigel,E,Caldwell,Nigel Caldwell,Nigel Caldwell,HR Office,201-829-2373,Nigel.Caldwell@socimp.com,2296 Lakewood Drive,Secaucus,HN,10000,VN,HR Staff,SOC in my Pocket
Donna.Holleran,socimp123!,"OU=HR,OU=SOCIMP Users,DC=socimp,DC=local",HR,Donna.Holleran@socimp.com,Donna,C,Holleran,Donna Holleran,Donna Holleran,HR Office,814-487-9372,Donna.Holleran@socimp.com,3487 Stutler Lane,Beaverdale,HN,10000,VN,HR Staff,SOC in my Pocket
William.Magill,socimp123!,"OU=HR,OU=SOCIMP Users,DC=socimp,DC=local",HR,William.Magill@socimp.com,William,D,Magill,William Magill,William Magill,HR Office,417-859-8831,William.Magill@socimp.com,2519 Briarwood Road,Marshfield,HN,10000,VN,HR Staff,SOC in my Pocket
Nicole.Benson,socimp123!,"OU=HR,OU=SOCIMP Users,DC=socimp,DC=local",HR,Nicole.Benson@socimp.com,Nicole,C,Benson,Nicole Benson,Nicole Benson,HR Office,865-281-6474,Nicole.Benson@socimp.com,3315 Wiseman Street,Knoxville,HN,10000,VN,HR Staff,SOC in my Pocket
Alva.Wood,socimp123!,"OU=Accouting,OU=SOCIMP Users,DC=socimp,DC=local",Accounting,Alva.Wood@socimp.com,Alva,E,Wood,Alva Wood,Alva Wood,Accouting Office,720-532-9845,Alva.Wood@socimp.com,4175 Clay Lick Road,Aurora,HN,10000,VN,Internal Accounting,SOC in my Pocket
Eric.Seifert,socimp123!,"OU=Accouting,OU=SOCIMP Users,DC=socimp,DC=local",Accounting,Eric.Seifert@socimp.com,Eric,E,Seifert,Eric Seifert,Eric Seifert,Accouting Office,631-539-1213,Eric.Seifert@socimp.com,4053 Abia Martin Drive,Bethpage,HN,10000,VN,Internal Accounting,SOC in my Pocket
Martha.Morales,socimp123!,"OU=Accouting,OU=SOCIMP Users,DC=socimp,DC=local",Accounting,Martha.Morales@socimp.com,Martha,R,Morales,Martha Morales,Martha Morales,Accouting Office,386-658-8566,Martha.Morales@socimp.com,2181 Spirit Drive,Dowling Park,HN,10000,VN,Internal Accounting,SOC in my Pocket
Jackie.Harris,socimp123!,"OU=Accouting,OU=SOCIMP Users,DC=socimp,DC=local",Accounting,Jackie.Harris@socimp.com,Jackie,D,Harris,Jackie Harris,Jackie Harris,Accouting Office,267-508-3863,Jackie.Harris@socimp.com,400 Quincy Street,Philadelphia,HN,10000,VN,Accouting Specialist,SOC in my Pocket
Mary.Smart,iloveyou123,"OU=Accouting,OU=SOCIMP Users,DC=socimp,DC=local",Accounting,Mary.Smart@socimp.com,Mary,J,Smart,Mary Smart,Mary Smart,Accouting Office,985-705-6763,Mary.Smart@socimp.com,2760 Woodland Avenue,Metairie,HN,10000,VN,Accouting Specialist,SOC in my Pocket
Timmy.Snow,socimp123!,"OU=Accouting,OU=SOCIMP Users,DC=socimp,DC=local",Accounting,Timmy.Snow@socimp.com,Timmy,T,Snow,Timmy Snow,Timmy Snow,Accouting Office,336-566-7831,Timmy.Snow@socimp.com,1170 Ingram Road,Asheboro,HN,10000,VN,Accouting Staff,SOC in my Pocket
Jared.Dietz,socimp123!,"OU=Accouting,OU=SOCIMP Users,DC=socimp,DC=local",Accounting,Jared.Dietz@socimp.com,Jared,C,Dietz,Jared Dietz,Jared Dietz,Accouting Office,772-221-0223,Jared.Dietz@socimp.com,2432 Elkview Drive,Stuart,HN,10000,VN,Accouting Staff,SOC in my Pocket
Shannon.Key,socimp123!,"OU=Accouting,OU=SOCIMP Users,DC=socimp,DC=local",Accounting,Shannon.Key@socimp.com,Shannon,M,Key,Shannon Key,Shannon Key,Accouting Office,908-598-7681,Shannon.Key@socimp.com,2294 Caynor Circle,Summit,HN,10000,VN,Accouting Staff,SOC in my Pocket
Leo.Puente,socimp123!,"OU=Accouting,OU=SOCIMP Users,DC=socimp,DC=local",Accounting,Leo.Puente@socimp.com,Leo,E,Puente,Leo Puente,Leo Puente,Accouting Office,773-592-8062,Leo.Puente@socimp.com,4173 Virginia Street,Chicago,HN,10000,VN,Accouting Staff,SOC in my Pocket
Minnie.James,socimp123!,"OU=Accouting,OU=SOCIMP Users,DC=socimp,DC=local",Accounting,Minnie.James@socimp.com,Minnie,G,James,Minnie James,Minnie James,Accouting Office,808-627-7882,Minnie.James@socimp.com,113 Indiana Avenue,Mililani,HN,10000,VN,Accouting Staff,SOC in my Pocket
